pair,ir_path,vis_path,time_ms,output
1,ir_grey/IR1.jpg,vis_grey/VIS1.jpg,26.739699999999978,fusion_results_wavelet\fused_01.jpg
2,ir_grey/IR4.jpg,vis_grey/VIS4.jpg,27.936799999999984,fusion_results_wavelet\fused_02.jpg
3,ir_grey/IR18.jpg,vis_grey/VIS18.jpg,26.207800000000002,fusion_results_wavelet\fused_03.jpg
